Name,Color,Price,Info
VINTAGE BAGGY JEANS,Mid-blue | 6688/310,69.90 USD,100% cotton,Baggy fit jeans. Five pockets. Washed vintage effect with rips at legs. Uneven hem. Front zip and button closure.
STRAIGHT FIT JEANS,Color: Pink | 8062/303,49.90 USD,100% cotton,Straight fit jeans. Five pockets. Washed effect. Front button closure.
UTILITY POCKET PANTS,Color: Light tan | 5575/375,89.90 USD,100% cotton,Relaxed fit pants. Front pockets and back patch pockets. Multi-functional pockets at legs. Adjustable hem with straps. Front zip and button closure.
OVERDYED VINTAGE JEANS,Blue / Green | 8062/307,69.90 USD,100% cotton,Straight fit jeans. Five pockets. Washed effect with colored finish. Uneven hem. Front button closure.
SLIM FIT JEANS,Black | 1538/356,59.90 USD,100% cotton,Slim fit jeans. Five pockets. Washed effect. Front zip and button closure.
SKINNY JEANS,Color: Blue | 5575/320,45.90 USD,99% cotton1% elastane,Skinny fit jeans. Five pockets. Washed effect. Front zip and button closure.
WAXED EFFECT JEANS,Black | 6688/302,89.90 USD,100% cotton,Straight fit jeans made of waxed finish denim. Five pockets. Front zip and button closure.
STRAIGHT FIT JEANS,Blue | 1538/378,49.90 USD,100% cotton,Straight fit jeans. Five pockets. Washed effect. Front zip and button closure.
STRAIGHT FIT JEANS,Color: Blue | 8062/320,49.90 USD,100% cotton,Straight fit jeans. Five pockets. Washed effect. Front button closure.
SLIM FIT JEANS,Color: Blue / Green | 4060/311,45.90 USD,100% cotton,Slim fit jeans. Five pockets. Washed effect. Front zip and button closure.
